#                                                                                                                                                                      $
#      ENTRAF is free for academic/noncommercial use                                                                                                                   $
#                                                                                                                                                                      $
#      User is not entitled to change or erase data sets of the ENTRAF database or to eliminate copyright notices from ENTRAF. Furthermore                             $
#      user is not entitled to expand ENTRAF or to integrate ENTRAF partly or as a whole into other databank systems     without prior written consent                 $
#      from IIMAS-UNAM.                                                                                                                                                $
#                                                                                                                                                                      $
# Citation                                                                                                                                                             $
#      Tenorio-Salgado   S. et al (2025) ENcyclopedia of TRAnscription Factors in Bacteria and Archaea genomes (ENTRAF) version 2.0.                                   $
#                                                                                                                                                                      $
# Contact                                                                                                                                                              $
#                                                                                                                                                                      $
#      ENTRAF Team                                                                                                                                                     $
#      Web Page: entraf.iimas.unam.mx                                                                                                                                  $
#      (ernesto.perez@iimas.unam.mx)                                                                                                                                   $
#                                                                                                                                                                      $
# Release: 2.0. Date: XX/XX/2025                                                                                                                                       $
# Interproscan annotations
#
ENTRAF_ID	PROTEIN_ID	LENGTH	PROGRAM	IDENTIFICATOR	FUNCTION	START	END	EVALUE	INTERPRO_ID	INTERPRO_FUNCTION	GO annotation
ENTRAF0003	P9WMH1	230	SUPERFAMILY	SSF47979	"Iron-dependent repressor protein, dimerization domain"	65	134	4.05E-27	IPR036421	"Iron dependent repressor, metal binding and dimerisation domain superfamily"	GO:0046914(InterPro)|GO:0046983(InterPro)
ENTRAF0003	P9WMH1	230	SUPERFAMILY	SSF50037	C-terminal domain of transcriptional repressors	130	230	1.12E-23	IPR008988	"Transcriptional repressor, C-terminal"	-
ENTRAF0003	P9WMH1	230	Gene3D	G3DSA:2.30.30.90	-	151	230	2.00E-27	IPR038157	"Ferrous iron transporter, core domain"	-
ENTRAF0003	P9WMH1	230	FunFam	G3DSA:2.30.30.90:FF:000002	Iron-dependent repressor IdeR	151	230	2.50E-52	-	-	-
ENTRAF0003	P9WMH1	230	Pfam	PF01325	"Iron dependent repressor, N-terminal DNA binding domain"	3	62	9.90E-18	IPR022687	DTXR-type HTH domain	GO:0003677(InterPro)
ENTRAF0003	P9WMH1	230	Gene3D	G3DSA:1.10.10.10	-	1	73	6.30E-25	IPR036388	Winged helix-like DNA-binding domain superfamily	-
ENTRAF0003	P9WMH1	230	PANTHER	PTHR33238	"IRON (METAL) DEPENDENT REPRESSOR, DTXR FAMILY"	1	152	8.00E-49	IPR050536	DtxR/MntR Metal-Dependent Regulators	GO:0045892(PANTHER)
ENTRAF0003	P9WMH1	230	Gene3D	G3DSA:1.10.60.10	"Iron dependent repressor, metal binding and dimerisation domain"	74	140	3.50E-33	IPR036421	"Iron dependent repressor, metal binding and dimerisation domain superfamily"	GO:0046914(InterPro)|GO:0046983(InterPro)
ENTRAF0003	P9WMH1	230	SMART	SM00529	dtx3	26	125	3.50E-47	IPR022689	Iron dependent repressor	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0046914(InterPro)
ENTRAF0003	P9WMH1	230	FunFam	G3DSA:1.10.10.10:FF:000067	Iron-dependent repressor IdeR	1	73	1.60E-47	-	-	-
ENTRAF0003	P9WMH1	230	Pfam	PF18357	Diphteria toxin repressor SH3 domain	152	229	2.10E-06	IPR040767	"Diphteria toxin repressor/Iron-dependent repressor IdeR, SH3 domain"	-
ENTRAF0003	P9WMH1	230	Pfam	PF02742	"Iron dependent repressor, metal binding and dimerisation domain"	65	133	4.00E-27	IPR001367	"Iron dependent repressor, metal binding and dimerisation domain"	GO:0046914(InterPro)|GO:0046983(InterPro)
ENTRAF0003	P9WMH1	230	ProSiteProfiles	PS50944	DtxR-type HTH domain profile.	4	65	19.232759	IPR022687	DTXR-type HTH domain	GO:0003677(InterPro)
ENTRAF0003	P9WMH1	230	SUPERFAMILY	SSF46785	Winged helix DNA-binding domain	2	62	8.28E-13	IPR036390	Winged helix DNA-binding domain superfamily	-
ENTRAF0003	P9WMH1	230	FunFam	G3DSA:1.10.60.10:FF:000001	Iron dependent repressor	74	136	3.50E-40	-	-	-
ENTRAF0003	P9WMH1	230	SMART	SM00899	FeoA_2	152	229	1.30E-11	IPR007167	Ferrous iron transporter FeoA-like domain	GO:0046914(InterPro)
ENTRAF0004	P11470	74	PRINTS	PR00038	LuxR bacterial regulatory protein HTH signature	26	42	1.20E-12	IPR000792	"Transcription regulator LuxR, C-terminal"	GO:0006355(InterPro)
ENTRAF0004	P11470	74	PRINTS	PR00038	LuxR bacterial regulatory protein HTH signature	42	54	1.20E-12	IPR000792	"Transcription regulator LuxR, C-terminal"	GO:0006355(InterPro)
ENTRAF0004	P11470	74	PRINTS	PR00038	LuxR bacterial regulatory protein HTH signature	12	26	1.20E-12	IPR000792	"Transcription regulator LuxR, C-terminal"	GO:0006355(InterPro)
ENTRAF0004	P11470	74	Pfam	PF00196	"Bacterial regulatory proteins, luxR family"	11	64	1.40E-20	IPR000792	"Transcription regulator LuxR, C-terminal"	GO:0006355(InterPro)
ENTRAF0004	P11470	74	ProSitePatterns	PS00622	LuxR-type HTH domain signature.	26	53	-	IPR000792	"Transcription regulator LuxR, C-terminal"	GO:0006355(InterPro)
ENTRAF0004	P11470	74	SUPERFAMILY	SSF46894	C-terminal effector domain of the bipartite response regulators	8	72	3.40E-23	IPR016032	"Signal transduction response regulator, C-terminal effector"	GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0004	P11470	74	CDD	cd06170	LuxR_C_like	12	68	2.93E-20	IPR000792	"Transcription regulator LuxR, C-terminal"	GO:0006355(InterPro)
ENTRAF0004	P11470	74	ProSiteProfiles	PS50043	LuxR-type HTH domain profile.	5	70	34.805126	IPR000792	"Transcription regulator LuxR, C-terminal"	GO:0006355(InterPro)
ENTRAF0004	P11470	74	FunFam	G3DSA:1.10.10.10:FF:000129	Helix-turn-helix transcriptional regulator	1	74	1.50E-50	-	-	-
ENTRAF0004	P11470	74	Gene3D	G3DSA:1.10.10.10	-	1	74	1.30E-29	IPR036388	Winged helix-like DNA-binding domain superfamily	-
ENTRAF0004	P11470	74	PANTHER	PTHR44688	DNA-BINDING TRANSCRIPTIONAL ACTIVATOR DEVR_DOSR	4	70	2.50E-20	-	-	-
ENTRAF0004	P11470	74	SMART	SM00421	luxrmega5	9	66	3.90E-25	IPR000792	"Transcription regulator LuxR, C-terminal"	GO:0006355(InterPro)
ENTRAF0005	P39805	277	SUPERFAMILY	SSF63520	"PTS-regulatory domain, PRD"	170	273	3.01E-31	IPR036634	PRD domain superfamily	GO:0006355(InterPro)
ENTRAF0005	P39805	277	Gene3D	G3DSA:2.30.24.10	-	1	55	5.50E-23	IPR036650	CAT RNA-binding domain superfamily	GO:0003723(InterPro)
ENTRAF0005	P39805	277	Gene3D	G3DSA:1.10.1790.10	PRD domain	168	277	3.70E-38	-	-	-
ENTRAF0005	P39805	277	ProSiteProfiles	PS51372	PRD domain profile.	65	170	21.131382	IPR011608	PRD domain	GO:0006355(InterPro)
ENTRAF0005	P39805	277	PANTHER	PTHR30185	CRYPTIC BETA-GLUCOSIDE BGL OPERON ANTITERMINATOR	1	276	2.00E-59	IPR050661	BglG family transcriptional antiterminators	-
ENTRAF0005	P39805	277	SUPERFAMILY	SSF50151	SacY-like RNA-binding domain	1	54	4.32E-17	IPR036650	CAT RNA-binding domain superfamily	GO:0003723(InterPro)
ENTRAF0005	P39805	277	SUPERFAMILY	SSF63520	"PTS-regulatory domain, PRD"	57	166	1.44E-32	IPR036634	PRD domain superfamily	GO:0006355(InterPro)
ENTRAF0005	P39805	277	NCBIfam	NF046042	BglG family transcription antiterminator LicT	1	273	2.20E-123	-	-	-
ENTRAF0005	P39805	277	Gene3D	G3DSA:1.10.1790.10	PRD domain	64	167	1.30E-28	-	-	-
ENTRAF0005	P39805	277	Pfam	PF03123	CAT RNA binding domain	1	56	2.20E-19	IPR004341	CAT RNA-binding domain	GO:0003723(InterPro)
ENTRAF0005	P39805	277	ProSitePatterns	PS00654	PRD domain signature.	98	110	-	IPR001550	"Transcription antiterminator, conserved site"	GO:0003723(InterPro)|GO:0045893(InterPro)
ENTRAF0005	P39805	277	ProSiteProfiles	PS51372	PRD domain profile.	171	277	20.062241	IPR011608	PRD domain	GO:0006355(InterPro)
ENTRAF0005	P39805	277	SMART	SM01061	CAT_RBD_2	1	59	1.50E-28	IPR004341	CAT RNA-binding domain	GO:0003723(InterPro)
ENTRAF0005	P39805	277	Pfam	PF00874	PRD domain	75	163	3.10E-22	IPR011608	PRD domain	GO:0006355(InterPro)
ENTRAF0005	P39805	277	Pfam	PF00874	PRD domain	180	272	5.20E-17	IPR011608	PRD domain	GO:0006355(InterPro)
ENTRAF0006	P71039	257	Gene3D	G3DSA:1.10.1660.10	-	1	144	1.60E-39	-	-	-
ENTRAF0006	P71039	257	PRINTS	PR00040	MerR bacterial regulatory protein HTH signature	4	15	1.80E-05	IPR000551	MerR-type HTH domain	GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0006	P71039	257	PRINTS	PR00040	MerR bacterial regulatory protein HTH signature	39	59	1.80E-05	IPR000551	MerR-type HTH domain	GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0006	P71039	257	PRINTS	PR00040	MerR bacterial regulatory protein HTH signature	15	28	1.80E-05	IPR000551	MerR-type HTH domain	GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0006	P71039	257	PANTHER	PTHR30204	REDOX-CYCLING DRUG-SENSING TRANSCRIPTIONAL ACTIVATOR SOXR	3	138	3.00E-26	IPR047057	MerR transcriptional regulator	GO:0003700(InterPro)
ENTRAF0006	P71039	257	Gene3D	G3DSA:1.10.490.50	-	163	253	2.90E-25	IPR036244	"TipA-like multidrug resistance regulator, antibiotic-recognition domain"	-
ENTRAF0006	P71039	257	Pfam	PF13411	MerR HTH family regulatory protein	3	70	1.20E-15	IPR000551	MerR-type HTH domain	GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0006	P71039	257	Pfam	PF07739	TipAS antibiotic-recognition domain	135	248	1.20E-29	IPR012925	TipAS antibiotic-recognition domain	-
ENTRAF0006	P71039	257	SMART	SM00422	merrmega3	3	72	5.20E-31	IPR000551	MerR-type HTH domain	GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0006	P71039	257	CDD	cd01106	HTH_TipAL-Mta	3	105	7.60E-54	-	-	-
ENTRAF0006	P71039	257	ProSiteProfiles	PS50937	MerR-type HTH domain profile.	2	71	42.061176	IPR000551	MerR-type HTH domain	GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0006	P71039	257	SUPERFAMILY	SSF46955	Putative DNA-binding domain	3	104	3.66E-29	IPR009061	Putative DNA-binding domain superfamily	-
ENTRAF0006	P71039	257	Coils	Coil	Coil	77	97	-	-	-	-
ENTRAF0006	P71039	257	SUPERFAMILY	SSF89082	Antibiotic binding domain of TipA-like multidrug resistance regulators	163	250	4.71E-28	IPR036244	"TipA-like multidrug resistance regulator, antibiotic-recognition domain"	-
ENTRAF0007	P06534	267	FunFam	G3DSA:1.10.10.10:FF:000107	Stage 0 sporulation protein A	149	267	3.00E-74	-	-	-
ENTRAF0007	P06534	267	ProSiteProfiles	PS50110	Response regulatory domain profile.	5	123	37.913818	IPR001789	"Signal transduction response regulator, receiver domain"	GO:0000160(InterPro)
ENTRAF0007	P06534	267	SMART	SM00448	REC_2	4	119	2.90E-32	IPR001789	"Signal transduction response regulator, receiver domain"	GO:0000160(InterPro)
ENTRAF0007	P06534	267	Gene3D	G3DSA:1.10.10.10	-	148	267	4.00E-55	IPR036388	Winged helix-like DNA-binding domain superfamily	-
ENTRAF0007	P06534	267	FunFam	G3DSA:3.40.50.2300:FF:000154	Stage 0 sporulation protein A	1	134	3.60E-72	-	-	-
ENTRAF0007	P06534	267	PANTHER	PTHR43228	TWO-COMPONENT RESPONSE REGULATOR	5	210	9.30E-25	IPR052048	Signal Transduction Response Regulator	-
ENTRAF0007	P06534	267	MobiDBLite	mobidb-lite	consensus disorder prediction	126	150	-	-	-	-
ENTRAF0007	P06534	267	MobiDBLite	mobidb-lite	consensus disorder prediction	135	145	-	-	-	-
ENTRAF0007	P06534	267	Gene3D	G3DSA:3.40.50.2300	-	1	144	4.10E-33	-	-	-
ENTRAF0007	P06534	267	Pfam	PF08769	Sporulation initiation factor Spo0A C terminal	157	260	1.00E-40	IPR014879	"Sporulation initiation factor Spo0A, C-terminal"	GO:0003700(InterPro)|GO:0005509(InterPro)|GO:0005737(InterPro)|GO:0006355(InterPro)|GO:0042173(InterPro)
ENTRAF0007	P06534	267	CDD	cd17561	REC_Spo0A	3	110	5.94E-67	-	-	-
ENTRAF0007	P06534	267	PIRSF	PIRSF002937	Res_reg_Spo0A	1	267	1.20E-137	IPR012052	Sporulation transcription factor Spo0A	GO:0003677(InterPro)|GO:0005509(InterPro)|GO:0006355(InterPro)|GO:0043937(InterPro)|GO:0051606(InterPro)
ENTRAF0007	P06534	267	NCBIfam	TIGR02875	sporulation transcription factor Spo0A	2	267	2.20E-127	IPR012052	Sporulation transcription factor Spo0A	GO:0003677(InterPro)|GO:0005509(InterPro)|GO:0006355(InterPro)|GO:0043937(InterPro)|GO:0051606(InterPro)
ENTRAF0007	P06534	267	SUPERFAMILY	SSF46894	C-terminal effector domain of the bipartite response regulators	150	265	3.66E-48	IPR016032	"Signal transduction response regulator, C-terminal effector"	GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0007	P06534	267	Pfam	PF00072	Response regulator receiver domain	6	119	6.20E-26	IPR001789	"Signal transduction response regulator, receiver domain"	GO:0000160(InterPro)
ENTRAF0007	P06534	267	SUPERFAMILY	SSF52172	CheY-like	1	127	4.55E-33	IPR011006	CheY-like superfamily	-
ENTRAF0008	P13792	240	Gene3D	G3DSA:3.40.50.2300	-	3	87	3.80E-26	-	-	-
ENTRAF0008	P13792	240	Pfam	PF00072	Response regulator receiver domain	5	114	3.90E-29	IPR001789	"Signal transduction response regulator, receiver domain"	GO:0000160(InterPro)
ENTRAF0008	P13792	240	SUPERFAMILY	SSF52172	CheY-like	2	127	1.08E-43	IPR011006	CheY-like superfamily	-
ENTRAF0008	P13792	240	SUPERFAMILY	SSF46894	C-terminal effector domain of the bipartite response regulators	136	234	1.39E-30	IPR016032	"Signal transduction response regulator, C-terminal effector"	GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0008	P13792	240	PANTHER	PTHR48111	REGULATOR OF RPOS	4	237	2.80E-64	IPR039420	Transcriptional regulatory protein WalR-like	GO:0000156(PANTHER)|GO:0000976(PANTHER)|GO:0005829(PANTHER)|GO:0006355(PANTHER)|GO:0032993(PANTHER)
ENTRAF0008	P13792	240	CDD	cd19937	REC_OmpR_BsPhoP-like	6	119	9.90E-68	-	-	-
ENTRAF0008	P13792	240	Gene3D	G3DSA:6.10.250.690	-	88	120	7.90E-19	-	-	-
ENTRAF0008	P13792	240	CDD	cd00383	trans_reg_C	144	233	5.08E-36	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0000160(InterPro)|GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0008	P13792	240	ProSiteProfiles	PS51755	OmpR/PhoB-type DNA-binding domain profile.	136	235	43.403198	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0000160(InterPro)|GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0008	P13792	240	Pfam	PF00486	"Transcriptional regulatory protein, C terminal"	159	233	1.10E-25	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0000160(InterPro)|GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0008	P13792	240	FunFam	G3DSA:3.40.50.2300:FF:000001	DNA-binding response regulator PhoB	1	82	9.10E-32	-	-	-
ENTRAF0008	P13792	240	SMART	SM00448	REC_2	3	114	1.20E-49	IPR001789	"Signal transduction response regulator, receiver domain"	GO:0000160(InterPro)
ENTRAF0008	P13792	240	ProSiteProfiles	PS50110	Response regulatory domain profile.	4	118	49.338737	IPR001789	"Signal transduction response regulator, receiver domain"	GO:0000160(InterPro)
ENTRAF0008	P13792	240	SMART	SM00862	Trans_reg_C_3	157	233	2.30E-26	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0000160(InterPro)|GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0008	P13792	240	Gene3D	G3DSA:1.10.10.10	-	127	239	4.60E-34	IPR036388	Winged helix-like DNA-binding domain superfamily	-
ENTRAF0008	P13792	240	FunFam	G3DSA:1.10.10.10:FF:000089	Alkaline phosphatase synthesis response regulator	127	237	1.40E-50	-	-	-
ENTRAF0009	P37551	285	SUPERFAMILY	SSF53271	PRTase-like	91	263	1.85E-42	IPR029057	Phosphoribosyltransferase-like	-
ENTRAF0009	P37551	285	Gene3D	G3DSA:1.10.10.10	-	1	73	1.20E-31	IPR036388	Winged helix-like DNA-binding domain superfamily	-
ENTRAF0009	P37551	285	SUPERFAMILY	SSF46785	Winged helix DNA-binding domain	2	73	1.14E-26	IPR036390	Winged helix DNA-binding domain superfamily	-
ENTRAF0009	P37551	285	CDD	cd06223	PRTases_typeI	118	242	5.09E-17	IPR000836	Phosphoribosyltransferase domain	-
ENTRAF0009	P37551	285	Gene3D	G3DSA:3.40.50.2020	-	74	274	1.80E-64	IPR029057	Phosphoribosyltransferase-like	-
ENTRAF0009	P37551	285	Pfam	PF09182	"Bacterial purine repressor, N-terminal"	4	73	4.00E-27	IPR015265	"Bacterial purine repressor, N-terminal"	GO:0003677(InterPro)|GO:0006355(InterPro)
ENTRAF0009	P37551	285	Pfam	PF00156	Phosphoribosyl transferase domain	108	244	3.40E-19	IPR000836	Phosphoribosyltransferase domain	-
ENTRAF0009	P37551	285	NCBIfam	TIGR01743	pur operon repressor PurR	3	270	5.60E-135	IPR010078	Pur operon repressor	GO:0003677(InterPro)|GO:0045892(InterPro)|GO:0045982(InterPro)
ENTRAF0009	P37551	285	PANTHER	PTHR43864	HYPOXANTHINE/GUANINE PHOSPHORIBOSYLTRANSFERASE	1	265	2.10E-92	IPR050118	Purine/Pyrimidine Phosphoribosyltransferase	-
ENTRAF0010	P54512	142	FunFam	G3DSA:1.10.10.10:FF:000189	HTH-type transcriptional regulator MntR	2	69	2.70E-40	-	-	-
ENTRAF0010	P54512	142	Pfam	PF01325	"Iron dependent repressor, N-terminal DNA binding domain"	1	60	2.40E-23	IPR022687	DTXR-type HTH domain	GO:0003677(InterPro)
ENTRAF0010	P54512	142	Gene3D	G3DSA:1.10.10.10	-	1	73	2.60E-26	IPR036388	Winged helix-like DNA-binding domain superfamily	-
ENTRAF0010	P54512	142	FunFam	G3DSA:1.10.60.10:FF:000003	HTH-type transcriptional regulator MntR	74	142	1.30E-42	-	-	-
ENTRAF0010	P54512	142	Hamap	MF_00732	HTH-type transcriptional regulator MntR [mntR].	1	138	42.755947	IPR022897	HTH-type transcription regulator MntR	-
ENTRAF0010	P54512	142	SMART	SM00529	dtx3	24	123	1.70E-46	IPR022689	Iron dependent repressor	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0046914(InterPro)
ENTRAF0010	P54512	142	NCBIfam	NF003025	transcriptional regulator MntR	1	141	2.70E-76	-	-	-
ENTRAF0010	P54512	142	Gene3D	G3DSA:1.10.60.10	"Iron dependent repressor, metal binding and dimerisation domain"	74	142	3.30E-35	IPR036421	"Iron dependent repressor, metal binding and dimerisation domain superfamily"	GO:0046914(InterPro)|GO:0046983(InterPro)
ENTRAF0010	P54512	142	SUPERFAMILY	SSF47979	"Iron-dependent repressor protein, dimerization domain"	63	132	2.47E-19	IPR036421	"Iron dependent repressor, metal binding and dimerisation domain superfamily"	GO:0046914(InterPro)|GO:0046983(InterPro)
ENTRAF0010	P54512	142	Pfam	PF02742	"Iron dependent repressor, metal binding and dimerisation domain"	63	128	1.20E-15	IPR001367	"Iron dependent repressor, metal binding and dimerisation domain"	GO:0046914(InterPro)|GO:0046983(InterPro)
ENTRAF0010	P54512	142	PANTHER	PTHR33238	"IRON (METAL) DEPENDENT REPRESSOR, DTXR FAMILY"	2	126	5.20E-42	IPR050536	DtxR/MntR Metal-Dependent Regulators	-
ENTRAF0010	P54512	142	ProSiteProfiles	PS50944	DtxR-type HTH domain profile.	1	63	24.865332	IPR022687	DTXR-type HTH domain	GO:0003677(InterPro)
ENTRAF0010	P54512	142	SUPERFAMILY	SSF46785	Winged helix DNA-binding domain	3	62	2.93E-17	IPR036390	Winged helix DNA-binding domain superfamily	-
ENTRAF0011	P9WGM3	205	ProSiteProfiles	PS50921	ANTAR domain profile.	135	196	22.874369	IPR005561	ANTAR domain	GO:0003723(InterPro)
ENTRAF0011	P9WGM3	205	SUPERFAMILY	SSF52172	CheY-like	13	196	1.02E-57	IPR011006	CheY-like superfamily	-
ENTRAF0011	P9WGM3	205	CDD	cd19932	REC_PdtaR-like	14	131	4.82E-63	IPR048029	"PdtaR, receiver domain"	-
ENTRAF0011	P9WGM3	205	PIRSF	PIRSF036382	RR_antiterminator	5	203	4.00E-76	IPR008327	"Signal transduction response regulator, antiterminator"	-
ENTRAF0011	P9WGM3	205	PANTHER	PTHR43367	-	9	161	5.30E-30	-	-	-
ENTRAF0011	P9WGM3	205	Gene3D	G3DSA:1.10.10.10	-	143	205	9.90E-26	IPR036388	Winged helix-like DNA-binding domain superfamily	-
ENTRAF0011	P9WGM3	205	FunFam	G3DSA:3.40.50.2300:FF:000050	Response regulator receiver	6	142	1.40E-71	-	-	-
ENTRAF0011	P9WGM3	205	FunFam	G3DSA:1.10.10.10:FF:000157	Response regulator receiver	143	204	3.70E-32	-	-	-
ENTRAF0011	P9WGM3	205	ProSiteProfiles	PS50110	Response regulatory domain profile.	15	129	45.279305	IPR001789	"Signal transduction response regulator, receiver domain"	GO:0000160(InterPro)
ENTRAF0011	P9WGM3	205	SMART	SM00448	REC_2	14	125	2.30E-39	IPR001789	"Signal transduction response regulator, receiver domain"	GO:0000160(InterPro)
ENTRAF0011	P9WGM3	205	Pfam	PF00072	Response regulator receiver domain	16	125	4.30E-26	IPR001789	"Signal transduction response regulator, receiver domain"	GO:0000160(InterPro)
ENTRAF0011	P9WGM3	205	Pfam	PF03861	ANTAR domain	144	196	4.50E-17	IPR005561	ANTAR domain	GO:0003723(InterPro)
ENTRAF0011	P9WGM3	205	Gene3D	G3DSA:3.40.50.2300	-	1	142	7.40E-41	-	-	-
ENTRAF0011	P9WGM3	205	SMART	SM01012	ANTAR_2	141	196	9.60E-23	IPR005561	ANTAR domain	GO:0003723(InterPro)
ENTRAF0012	P9WMC1	216	FunFam	G3DSA:1.10.357.10:FF:000027	HTH-type transcriptional regulator EthR	68	216	2.60E-98	-	-	-
ENTRAF0012	P9WMC1	216	SUPERFAMILY	SSF48498	"Tetracyclin repressor-like, C-terminal domain"	97	213	2.10E-38	IPR036271	"Tetracyclin repressor-like, C-terminal domain superfamily"	-
